,bank,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt
11,BMO,I like staying on top of things so yes I definitely like this vmo app,4,0,6.20.2,2025-06-25 21:10:35,Hi Tania! Thanks for your review and feedback! We're glad to hear that the BMO Mobile App meets your needs. Have a great day! -Josie,2025-06-26 14:28:02
12,BMO,easy to use its great,5,0,6.20.2,2025-06-25 10:06:04,"Hello Tuula, thanks for your 5-stars and feedback! We're thrilled to learn that you find the BMO Mobile App great and easy to use! Please continue to enjoy it, and have a great day! -Josie",2025-06-25 14:46:13
13,BMO,very easy to understand,5,0,6.20.2,2025-06-24 22:46:05,"Hi Rose, thanks for your 5-stars! We're thrilled to hear that you find the BMO Mobile App easy to understand! Please continue to enjoy using it, and have a great day! -Josie",2025-06-25 13:54:46
14,BMO,i cant get alerts!,1,1,6.18.3,2025-06-24 13:05:56,"Hi Jackie, thanks for providing us with your review. We're sorry to learn you're having issues with BMO Alerts, we recommend you uninstall and reinstall the app, and re-enable your alerts. Should the issue persist, please call us at 1-877-225-5266 and we'll help! Thank you. -Josie",2025-06-25 13:51:34
15,BMO,very good service,5,0,6.20.2,2025-06-24 10:37:29,"Hi Harbhagat, thank you for review and 5-star rating! We are very pleased to read that you enjoy our services and we are happy to have you be a part of the BMO Community. Have a wonderful day! - Josie",2025-06-25 13:50:11
16,BMO,cool beans,5,0,6.20.2,2025-06-22 23:11:13,Hi Maxine! Thanks for your 5-star review and feedback! We're glad to hear that the BMO Mobile App meets your needs. Have a good day! -Josie,2025-06-25 13:48:01
17,BMO,trying to open and it's is freezing,3,1,6.20.2,2025-06-22 18:53:47,"Hi Sue, we're sorry to hear that you're having issues opening the BMO Mobile App. Please try uninstalling and reinstalling the app. If you continue to have the same issue, please give us a call securely at 1-877-225-5266 and we'll review. Thank you! -Josie",2025-06-25 11:38:22
18,BMO,I found it easier to navigate a year ago or so before it updated,4,0,6.20.2,2025-06-22 10:07:32,"Hi there, thanks for taking the time to provide us with your review and feedback. We're sorry to learn that the layout of the updated version of our app has not met your expectations. If you have any additional suggestions, please do let us know. Thank you! -Josie",2025-06-25 11:20:27
19,BMO,"Left RBC in my middle teens. Now, I've been a BMO customer for 20+ years. Great App. Easy to use!",5,0,6.20.1,2025-06-22 08:22:04,"Hi John, thank you so much for your review and rating! We're happy to hear that you find the BMO Mobile app great and we thank you for your continued loyalty. Please continue to enjoy using the app. Have a great day! -Josie",2025-06-25 11:17:08
20,BMO,good 👍🏻,4,0,6.20.2,2025-06-20 18:32:16,"Hi Oscar, thank you so much for your review and rating! We're happy to hear that you find the BMO Mobile app good. Please continue to enjoy using it. Have a great day! -Josie",2025-06-21 13:42:39
21,BMO,it's good 👍,4,0,6.20.2,2025-06-20 16:48:48,"Hi John thank you for your review and feedback. We're glad to learn that you've had a good experience with the BMO Mobile App. If you have any additional feedback, please feel free to let us know. Have a great day! -Josie",2025-06-21 13:39:19
22,BMO,horrible service,1,1,6.20.2,2025-06-19 17:10:40,"Hi Nick, thanks for your review. We're sorry to learn our services have not met your expectations. We take your feedback seriously and we'd like to learn more on what has happened. Please contact us at 1-877-225-5266 and we can further investigate. Thank you! -Josie",2025-06-20 14:11:43
23,BMO,great,5,0,6.20.2,2025-06-19 12:55:14,"Hi Jason, thank you so much for your review and 5-star rating! We're happy to hear that you find the BMO Mobile app great. Please continue to enjoy using it. Have a great day! -Josie",2025-06-20 14:04:17
24,BMO,handy,5,0,6.20.2,2025-06-18 20:12:18,"Hello Browning, thanks for your 5-star review and feedback! We're glad to hear that the BMO Mobile App meets your needs. Have a great day! -Josie",2025-06-19 12:54:17
26,BMO,"why can't you guys create a proper working and smooth app for android? almost all other banks have smoother experience. Also, please use material you icon. all other apps on my phone have material you icon, except this one.",1,1,6.20.2,2025-06-17 18:35:39,"Hi Rajnish, thanks for providing us with your review and rating. We're sorry to learn that the BMO Mobile App has not met your expectations. We appreciate your feedback on this matter and will ensure to provide it to our app development team for review and consideration. Thank you! -Josie",2025-06-18 14:25:51
27,BMO,easy to use,5,0,6.20.2,2025-06-17 14:07:12,Hi Lia! Thank so much for your 5-star review and feedback! We're so glad to hear that you find the BMO Mobile App easy to use. Have a great day! -Josie,2025-06-18 14:04:58
28,BMO,So far Bmo is convenient as an expat even though they consider me as a second class citizen with a sin starting by 9. Service is expedited quickly in person compared to competitors,5,0,6.20.2,2025-06-16 16:54:31,"Hi there, thank you for your rating and feedback! We are very pleased to read that you enjoy our services and we are happy to have you be a part of the BMO Community. Have a good day! - Josie",2025-06-17 12:20:01
29,BMO,great app.,4,0,6.20.2,2025-06-15 13:36:01,"Hi Pamela, thank you so much for your review and rating! We're very happy to hear that you find the BMO Mobile app great. Please continue to enjoy using it. Have a great day! -Josie",2025-06-17 12:16:48
30,BMO,easy to use. can use anywhere. transfers are instant.,5,0,6.20.2,2025-06-15 12:04:37,"Hello Emily, thanks for your 5-stars! We're thrilled to learn that you enjoy the BMO Mobile App and it's many features. Thank you for choosing BMO, and have a great day! -Josie",2025-06-17 12:13:03
31,BMO,It does banking.,5,0,6.20.2,2025-06-15 10:24:26,Hi Jesse! Thanks for your 5-star review and feedback! We're glad to hear that the BMO Mobile App meets your expectations. Have a good day! -Josie,2025-06-17 12:11:46
32,BMO,Very good the deposit cheque with a photo worked excellent wasn't the easiest to find tho,5,0,6.20.2,2025-06-14 13:43:36,"Hello Clive, thank you for your review and rating! We are very glad to hear that you enjoy the Mobile Cheque Deposit feature on the BMO Mobile app. Rest assured we will share your feedback with our App Developers for review. Thank you! - Josie",2025-06-17 12:09:56
33,BMO,it is a great bank they have helped me trmendously,5,0,6.20.2,2025-06-13 23:22:24,"Hi Ray, thank you for review and rating! We are very pleased to read that you enjoy our services and we are happy to have you be a part of the BMO Community. Have a great day! - Josie",2025-06-17 12:05:19
34,BMO,send money to another country with online banking,4,0,6.20.2,2025-06-13 16:30:57,"Hi Arina, thank you for your review and feedback! We're very happy to hear that you've had a good experience with the international banking options on BMO Mobile App. Thanks for choosing BMO and have a good day! -Josie",2025-06-17 11:59:47
35,BMO,"keeps reseting when trying to open new bank account, waste of time.",1,1,6.20.2,2025-06-13 10:43:24,"Hi Loki, we're sorry to hear that you're having issues opening a new account through the BMO Mobile App. Please try uninstalling and reinstalling the app. If you continue to have the same issue, kindly give us a call securely at 1-877-225-5266 and we'll investigate as well as assist you with your new account opening. Thank you! -Josie",2025-06-13 14:36:46
36,BMO,At times it is hard to find what you are looking for but overall the app works well.,4,0,6.20.2,2025-06-12 20:20:49,"Hi Daniel, thank you for your review and feedback. We're glad to learn that you've had a good experience with the BMO Mobile App. If you have any specific feature suggestions, please feel free to let us know. Have a great day! -Josie",2025-06-13 14:23:48
37,BMO,I have used this app on my phone for yrs..I went to Mexico n had my phone stolen so when I came back from my trip I had to get a new phone since I down loaded the bmo app to do online banking it will not let me in on the icon. I gave to go about doing it manually ever time.i tried deleting the app n installing again I'm still having trouble.I should be able to touch icons n be in/on my bmo bank page that not wat happens.the bmo sign comes up but will not go into my online banking page 🤔🫤,1,1,6.20.2,2025-06-12 16:47:34,"Hi Jennifer, we're sorry to hear that you're having issues logging into the BMO Mobile App. We recommend that you try uninstalling the app, clearing the cache on your device, and reinstalling the app. If the same issue continues, please contact us at 1-877-225-5266, and we'll review. Thank you. -Josie",2025-06-13 13:48:05
38,BMO,"YOUR SYSTEM GIVES AN OPTION FOR VERIFICATION THAT SETS OFF FRAUD DETECTION INSTEAD. -BMO LOGIC - can only send Western Union via Computer. Complete process, need to get verification code. Select Push notification, enter code. Receive error. Customer Service says - rejected for fraud for using computer and cellphone. I tell CS there's fault in logic if we can only do it online and they send us a verification code to our phone. she doesn't understand, no matter it used to work for me",4,0,6.20.2,2025-06-12 09:55:19,"Hi Ammarra, we're sorry to learn you've been having issues with the verifications codes. I will be sure to share your feedback and experience with our development team for review. Thanks again for taking the time to bring this to our attention. Have a good day! -Josie",2025-06-12 13:50:04
39,BMO,works well vary nice,4,0,6.20.2,2025-06-11 09:31:20,"Hi there, thank you so much for your review and rating! We're very happy to hear that the BMO Mobile app meets your needs. Please continue to enjoy using it, and have a great day! -Josie",2025-06-11 14:09:51
40,BMO,Transactions are not going through. This is terrible when payments need to be made!,2,1,6.20.2,2025-06-10 22:58:05,"Hi Mel, we're sorry to learn of your experience with the BMO Mobile Banking app. Please try to uninstall and reinstall the app as well as clear your cache and cookies on your device. If the issue continues or you need help completing a payment, please contact us at 1-877-225-5266, and an Associate will gladly assist you. Thank you! -Josie",2025-06-11 14:08:29
41,BMO,just keeps telling me my session is times out. try to log back in says the same thing.,1,1,6.20.2,2025-06-10 18:45:43,"Hi Sammi, we're sorry to hear that you're having issues with the BMO Mobile App timing out. We recommend that you try uninstalling the app, clearing the cache on your device, and reinstalling the app. If the same issue continues, please contact us at 1-877-225-5266, and we'll review. Thank you. -Josie",2025-06-11 13:51:20
43,BMO,i cant register for online banking at all and it says it's a problem on your end. error code 4004. i have tried for 2 days. i tried deleting and reinstalling the app.,1,1,6.20.2,2025-06-10 07:26:08,"Hi there, thanks for your review. We're sorry to hear that your experiencing issues registering for online banking. We'd appreciate the opportunity to review this with you further, kindly give us a call at 1-877-225-5266 and we'll be happy to help. Thank you! -Josie",2025-06-10 14:13:34
45,BMO,"I've used this app for years and been super happy with it, until I went to reorder cheques today and felt like I hit a wall; I couldn't find the function I had used in the past to reorder, so I tried the search function and then the Bot to get answers and each listed different steps that did not lead to what they described. I ended up having to call and order over the phone. I was told to reinstall the app, which I have done now, and I still dont see order cheques options.",3,7,6.20.2,2025-06-09 12:19:50,"Hi Erin, thanks for your review and feedback. We're sorry for any inconveniences this has caused for you. To order new cheques, this would have to be completed through BMO online banking. We hope this helps! -Josie",2025-06-10 14:07:53
46,BMO,"needs more features great app otherwise, very well layed out. and the u.i. is user friendly",3,1,6.20.2,2025-06-09 08:55:33,"Hi Brian, thank you for your review and feedback! We're very happy to learn that you've had a good experience with the BMO Mobile App. If you have any specific feature suggestions, please feel free to let us know. Have a great day! -Josie",2025-06-10 13:58:19
47,BMO,you're true family military supporters,5,0,6.20.2,2025-06-08 23:44:59,"Hi Bob, thank you for your review and 5-stars! We are very happy to read that you enjoy our services and the support we provide to our Canadian Defense Community! Thanks for choosing BMO and have a great day! - Josie",2025-06-10 12:40:09
48,BMO,Absolutely useless. Will not send transfers without causing a reset of banking password. Will not allow to update personal information such as phone number or address. Continual error messages. As a frequent traveler and have now spent countless times on the phone with BMO from abroad to rectify it is completely unacceptable. Will be switching all mortgage and banking products to a new bank.,1,4,6.20.2,2025-06-07 02:00:24,"Hi Dan, we're sorry to hear that you're having these issues with the BMO Mobile App. We recommend that you try uninstalling the app and reinstalling the app. Please also clear the cache and cookies on your device. If the issue persists, kindly give us a call securely at 1-877-225-5266 and we'll investigate. Thank you! -Josie",2025-06-07 14:15:40
49,BMO,so easy for someone is not techie ty,5,0,6.20.2,2025-06-06 11:51:38,"Hi Jean, thanks for your 5-stars! We're thrilled to learn you find our app easy to use! Please continue to enjoy it. Thank you so much for choosing BMO! Have a great day! -Josie",2025-06-07 14:09:37
50,BMO,my request are done on time.,5,0,6.20.2,2025-06-06 07:58:11,Hi Manuel! Thank so much for your 5-star review and feedback! We're glad to hear that the BMO Mobile App meets your expectations. Have a great day! -Josie,2025-06-06 14:08:10
51,BMO,the site is slower than royal and TD and tents to lag when sending transfers said in progress but takes alot of time to go threw compared to other mobil banking site's,3,1,6.20.2,2025-06-05 11:50:04,"Hi David, thanks for your review and rating. We're sorry to hear that the BMO Mobile App has not met your expectations when completing transfers. We appreciate your feedback and we'll ensure it's passed along to our app development team for review. Thank you! -Josie",2025-06-05 14:19:01
52,BMO,"Everything seems outdated. Can't send interac transfer to phone number. Send large amount via interac takes forever. Used to be instant with my old bank. App is slow, even on a powerful phone",3,1,6.20.2,2025-06-05 04:34:32,"Hi Gabriel, thanks for your review. We're sorry to learn that the BMO Mobile App has not met your expectations. We appreciate your feedback and we'll ensure it's passed along to our app development team for review and consideration. Thank you! -Josie",2025-06-05 14:11:25
53,BMO,"always getting error when trying to make bill payments. Make a payment Sorry, something went wrong on our end. We're working hard to fix it, so please try again soon. BP/HUB/C-ICS Back to Bill Payments",1,1,6.20.2,2025-06-04 22:26:37,"Hi Anoop, we're sorry to hear that you're having issues completing your bill payment. Please try uninstalling the app, restarting your device and then reinstalling the app. If you continue to have the same issue, kindly give us a call securely at 1-877-225-5266 and we'll investigate as well as assist you with your bill payment. Thank you! -Josie",2025-06-05 13:40:17
55,BMO,love it.,5,0,6.18.4,2025-06-02 01:20:32,"Hi Racheal, thank you so much for your review and rating! We're very happy to hear that you love the BMO Mobile app. Please continue to enjoy using it. Have a great day! -Josie",2025-06-03 14:07:39
56,BMO,good,5,0,6.20.2,2025-06-01 20:29:48,"Hello Ferdinand, thanks for your 5-stars! We're thrilled to learn that you enjoy the BMO Mobile App. Thank you for choosing BMO, and have a great day! -Josie",2025-06-03 14:05:13
57,BMO,"Can't get in won't let me download . Called for help no help there they cant figure out. Had money taken out of account 3 times changed cards 3 times and changed account numbers and still had money taken out. Now it's my fault, won't give money back next time. Maybe different bank would help. Unbelievable.",1,1,6.18.4,2025-05-31 13:39:25,"Hi Sue, we're sorry to hear that you're having issues with the BMO Mobile App. We recommend that you try uninstalling the app, restarting your device and then reinstalling the app. We'd also appreciate the chance to review your account details, please give us a call securely at 1-877-225-5266 and we'll investigate. Thank you! -Josie",2025-06-03 14:03:47
60,BMO,can't even register my card. says there's a problem on their end as in bmos end. so fix it lol it's been days I need online banking lol.,1,1,5.44.0,2025-05-30 12:10:28,"Hi Cameron. We're sorry to learn that you're having issues registering your card. Please uninstall and reinstall the BMO Mobile App and try again. If the issue persists, please give us a call at 1-877-225-5266 and we will be more than happy to help you get registered. Thank you! -Josie",2025-06-03 13:43:59
61,BMO,"to have face Id work if it's stopped on Android, cleared cache in android settings for ap. this is not part of the instructions online.. only had iPhone instructions. Please update to transact on investments like other big Canadian banks mobile banking aps",4,1,6.20.2,2025-05-30 08:10:56,"Hi Leya, thanks for your review and feedback. We're sorry to learn of the issue with your Face ID. Please try uninstalling and reinstalling the app. We also appreciate your suggestion regarding Investments, and we'll ensure it's passed along to our app development team for review and consideration. Thank you! -Josie",2025-06-03 13:30:43
62,BMO,hello been using BMO since 2013 and have no problems with it,5,0,6.20.1,2025-05-28 17:02:47,"Hi Russell, thank you for your review and rating! We are pleased to learn that the BMO Mobile App has met your expectations for many years! Thank you for being part of the BMO community, and have a great day! -Josie",2025-05-29 12:23:05
63,BMO,unable to log in using biometrics. I find the app works great but periodically i cant get into my acct without using password. Biometrics works fine to access my android phone. Very frustrating. Please fix asap.,1,1,6.20.1,2025-05-28 09:33:03,"Hi Elle, we appreciate you taking the time to provide your experience with the BMO Mobile Banking app. Kindly try uninstalling the app, clearing the cache on your device, and reinstalling the app. If the issue persist, please contact us at 1-877-225-5266, and we'll gladly investigate the issue. Thank you. -Josie",2025-05-29 12:21:03
64,BMO,"Very good, easy login",5,0,6.20.1,2025-05-28 07:46:35,"Hello Alena, thanks for your 5-stars and feedback! We're thrilled to hear that you enjoy using the BMO Mobile App. We appreciate you being a part of the community. Have a good day! -Josie",2025-05-29 12:12:45
65,BMO,love it,5,0,6.20.1,2025-05-28 06:54:27,"Hi there, thank you so much for your review and rating! We're very happy to hear that you love the BMO Mobile app. Please continue to enjoy using it. Have a great day! -Josie",2025-05-29 12:11:51
66,BMO,You are the best,5,0,6.20.1,2025-05-27 20:55:29,"Hi Johnathan, thank you for your review and 5-stars! We are very happy to read that you enjoy our services. Thanks for choosing BMO and have a great day! - Josie",2025-05-29 12:10:02
67,BMO,the have made it so easy for people to use,5,0,6.20.1,2025-05-27 15:05:33,"Hi Brenda, thank you very much for your review and 5-stars! We're so glad to hear that you find the BMO Mobile App easy to use. Please continue to enjoy it and have a great day! -Josie",2025-05-29 11:50:58
68,BMO,great,5,0,6.18.4,2025-05-26 07:32:10,"Hello Herman, thanks for your 5-stars! We're thrilled to learn that you enjoy using the BMO Mobile App, and appreciate you being a part of the community. Have a great day! -Josie",2025-05-27 14:08:46
69,BMO,this app is very good bank ibmo,5,0,6.20.1,2025-05-24 14:42:26,"Hi Garry, thank you so much for your updated review. We're glad to learn you find the BMO Mobile app very good. Have a great day! -Josie",2025-05-27 14:05:56
70,BMO,"Intuitive, frictionless. All the menu items are where they should be.",5,0,6.20.1,2025-05-24 13:09:29,"Hi there, thank you very much for your review and 5-stars! We're glad to hear that you find the BMO Mobile App easy to use and intuitive. Please continue to enjoy it and have a great day! -Josie",2025-05-27 13:50:05
71,BMO,scary because i dont want scammers to ger my personal information.,4,0,6.20.1,2025-05-24 10:11:46,"Hi Rick! Thanks for your rating and feedback. To learn more about how your security is our priority, please use the following link to visit our ""How We Protect You"" website! www.bmo.com/en-ca/main/personal/security-centre/. We hope this helps reassure you! -Josie",2025-05-24 13:58:33
72,BMO,Totally useless. Takes forever to sign you in. Call customer service instead.,1,1,6.20.1,2025-05-23 14:53:59,"Hi Harbans, thanks for your feedback. We're sorry to hear that the BMO Mobile App has not met your expectations. We recommend that you attempt to uninstall and reinstall the app and clear the cache and cookies on your device. We hope this helps! -Josie",2025-05-24 13:48:19
73,BMO,very good service,5,0,6.18.4,2025-05-23 14:09:42,"Hi there, thank you for review and 5-star rating! We are very pleased to read that you enjoy our services and we are happy to have you be a part of the BMO Community. Have a great day! - Josie",2025-05-24 13:46:13
74,BMO,good,5,0,6.20.1,2025-05-23 13:20:39,"Hi there, thanks for your 5-stars! We're thrilled to learn you enjoy the BMO Mobile App. Thank you for choosing BMO. Have a great day! -Josie",2025-05-24 13:39:06
75,BMO,Easy to use and intuitive,5,0,6.20.1,2025-05-23 12:40:21,"Hi there, thank you very much for your review and 5-stars! We're glad to hear that you find the BMO Mobile App easy to use and intuitive. Please continue to enjoy using it and have a great day! -Josie",2025-05-24 13:37:12
76,BMO,great,5,0,6.18.4,2025-05-22 16:12:55,"Hello Rodney, thank you for your review and 5-stars! We are very happy to read that you find the BMO Mobile App great. Thanks for choosing BMO and have a great day! - Josie",2025-05-23 13:44:41
77,BMO,after speaking to four different Representatives setting up this account and getting it started for the $400 bonus and showing them the bills that I submitted.. when the date they told me it would come into my account..my gas time and efforts let alone the 17.50 a month and effort it took to switch my insurance over to this account was made a mockery of ..if your signing up I'd suggest a local credit union on PC financial or CIBC this company is so a big waste of my money and time.,1,1,6.20.1,2025-05-22 12:01:10,"Hi Ric, thanks for bringing this to our attention. We're sorry to learn our services have not met your expectations. We take your feedback seriously and we'd like to learn more on what has happened. Please contact us at 1-877-225-5266 and we can further investigate. Thank you! -Josie",2025-05-22 14:22:57
78,BMO,very nice 👍,5,0,6.20.1,2025-05-22 11:06:49,"Hi Seth, thank you for your review and 5-star rating! We are very happy to hear that the BMO Mobile App meets your needs. Have a great day! -Josie",2025-05-22 13:22:57
80,BMO,pleasent,5,0,6.18.0,2025-05-21 13:58:07,"Hi Helena, thank you for your review and 5-star rating! We are glad to learn that you've had a pleasant experience with the BMO Mobile App. Have a great day! -Josie",2025-05-22 13:17:32
81,BMO,I want to sign in,2,1,6.18.2,2025-05-21 03:22:47,"Hi Chantelle, thanks for your review. To log into the BMO Mobile App, you need to install the app and use your debit or credit card number and password. If you're having any issues with your online/mobile banking access please give us a call securely at 1-877-225-5266, and we'll be happy to assist you further. Thank you! -Josie",2025-05-21 13:43:27
82,BMO,good,5,0,6.20.1,2025-05-21 00:15:13,"Hi Susi, thank you for your review and 5-star rating! We are glad to learn that you find the BMO Mobile App good. If you have any additional feedback, please feel free to let us know. Have a great day! -Josie",2025-05-21 13:37:01
83,BMO,It won't install 😕 absolutely garbage. What kind of scam is this? It deserves 0 starts,1,1,6.18.2,2025-05-20 11:17:58,"Hi Luciana, we're sorry to learn that you're having issues installing the BMO Mobile Banking app. Please try to clear the cache and cookies on your device and reinstall the app. If the issues persists, please give us a call at 1-877-225-5266, and we'll review. Thank you! -Josie",2025-05-21 13:35:41
84,BMO,good,5,0,6.18.4,2025-05-20 01:44:47,"Hi Juliana, thank you for your review and rating! We are pleased to learn that the BMO Mobile App meets your needs. If you have any additional feedback, please feel free to let us know. Have a great day! -Josie",2025-05-20 13:38:35
85,BMO,"Given recent updates to the app, I must update this review to reflect its new status. This is a great app and it's designed well.",4,1,6.20.1,2025-05-19 21:15:37,"Hi MJ, thank you so much for your updated rating and review! We're glad to learn that the newest updates made to the BMO Mobile App have made your digital banking experience great. Thank you for choosing BMO and have a good day! -Josie",2025-05-13 14:39:36
86,BMO,Can't they just leave it alone...,1,1,6.18.4,2025-05-19 13:22:02,"Hi Karim, thanks for your review. If there is a specific issue you are experiencing or feedback you'd like to share, please let us know and we will be happy to help. Thank you! -Josie",2025-05-20 12:51:28
87,BMO,excellent,5,0,6.20.1,2025-05-17 21:58:04,"Hi Daniel! Thank you for your review and feedback! We are very pleased to read that you find the BMO Mobile App excellent. If you have any additional feedback, please let us know. Have a great day! - Josie",2025-05-20 11:14:15
88,BMO,I have to erase apps every time I have to update the BMO on my Samsung Tablet. I don't need an update so often. I just want a simple banking app to use from my tablet at home. Why does it take so much space? Frustrating.,1,0,6.20.1,2025-05-17 21:23:41,"Hi Christina, thanks for taking the time to provide us with your feedback. We're sorry to hear that the BMO Mobile App updates have not met your expectations. We'll share your feedback with our development team for review. Thank you! -Josie",2025-05-20 10:12:22
89,BMO,it stinks,1,1,6.18.3,2025-05-17 14:02:41,"Hi Geoffrey, we appreciate you taking the time to provide us with your feedback, and we're sorry to hear that the BMO Mobile App has not met your expectations. If there is a specific issue you are experiencing, please let us know and we will be happy to help. Thank you! -Josie",2025-05-20 10:09:02
90,BMO,Why did I loose my unline banking?,4,0,6.18.3,2025-05-17 13:16:48,"Hi Judy, we're sorry to learn that you're having issues accessing the BMO Mobile Banking app. Please try to uninstall and reinstall the app. Kindly also clear the cache and cookies on your device. If the issues persists, please give us a call at 1-877-225-5266, and we'll be happy to help. Thank you! -Josie",2025-05-20 10:07:00
91,BMO,"Absolutly great app to access your bank acc, BMO has a great list of services that are easily accessible in the app, BMO teams always have your back to prevent scam transactions, and keep your cash yours.",5,1,6.20.1,2025-05-17 00:54:53,"Hi Damian, thank you for review and rating! We are so pleased to read that you enjoy the all of our services and we are happy to have you be a part of the BMO Community. Have a great day! -Josie",2025-05-17 12:55:25
92,BMO,BMO App is sub standard. CIBC has a far better App than BMO. it's a shame really. you guys be better...,1,1,6.18.0,2025-05-16 21:30:10,"Hello Maurice, we’re sorry that your experience with the App has been less than what you've expected. If you have any additional feedback, please feel free to let us know. Thanks! -Josie",2025-05-17 12:53:22
93,BMO,"Please add information for how much of the minimum payment has been made and how much is remaining for the credit card. So can just pay the remaining amount, instead of totalling all the partial payments manually by going through the current statement.",3,1,6.20.1,2025-05-16 13:58:03,"Hi Dennis, thanks for providing us with your feedback. We appreciate your suggestions, and we'll ensure it's passed along to our development team for review and consideration. Thank you! -Josie",2025-05-16 14:10:02
94,BMO,good to be able to know right away,5,0,6.4.5,2025-05-14 15:17:36,"Hi Manuel, thank you for your review and 5-star rating! We are very pleased that the BMO Mobile App meets your needs. Have a great day! -Josie",2025-05-15 13:26:23
95,BMO,Want the option to contact the bank online through the app and have the running totals in MasterCard (like we have in chequing). There is something wrong with the autofill field on the card # field. it also is not populating the account type for any of my savings accounts in the app,2,0,6.20.1,2025-05-14 10:29:09,"Hello there, thanks for sharing your feedback. We appreciate your suggestions and will ensure they are shared with our app developers for review. We recommend troubleshooting the issues by uninstalling and reinstalling the BMO Mobile App. Also, clear the cache and cookies on your device and ensure your device us updated. We hope this helps! -Josie",2025-05-14 14:16:35
96,BMO,not good it won't let me see my updates or my account,2,0,6.20.1,2025-05-14 09:54:01,"Hi Valerie, we're sorry to learn that you've been experiencing issues with the BMO Mobile App. Please try uninstalling the app, clearing the cache and cookies on your device and reinstalling the app. Please also ensure your device is updated. If the issues persists, please give us a call at 1-877-225-5266 and we'll review. Thank you! -Josie",2025-05-14 14:07:48
97,BMO,am in Android 15 and trying to use bit warden to auto fill the card number but it can't over lay properly,2,1,6.20.1,2025-05-13 23:06:43,"Hi Davy, thanks for your review. We kindly wish you let you know that BMO does not support third party apps. We apologize for any inconveniences caused and appreciate your understanding. Have a good day! -Josie",2025-05-14 14:02:45
